Unnamed: 0,timestamp,building_baseline,dbt,rh,dewpoint,condenser_power_W,compressor_power_W,crs_new
4214,2019-07-14 21:30:00,256.0,70.7,60.0,56.1,630.3639499314942,24661.236259641417,25.291600209572913
4215,2019-07-14 21:45:00,230.4,70.5,59.2,55.6,631.0569911200215,24642.62226928131,25.27367926040133
4216,2019-07-14 22:00:00,243.2,70.3,59.6,55.6,631.7497137474862,24623.924684558082,25.25567439830557
4217,2019-07-14 22:15:00,243.2,70.0,59.6,55.2,571.2676652341897,22267.30618706976,22.838573852303952
4218,2019-07-14 22:30:00,204.8,69.8,60.0,55.2,547.8375216435463,21343.37044201572,21.891207963659266
4219,2019-07-14 22:45:00,166.4,69.8,60.4,55.4,547.8375216435463,21343.37044201572,21.891207963659266
4220,2019-07-14 23:00:00,153.6,69.8,60.5,55.6,575.2431473208717,22378.07242852312,22.95331557584399
4221,2019-07-14 23:15:00,166.4,69.6,60.7,55.4,514.2183983144143,20105.189250923067,20.61940764923748
4222,2019-07-14 23:30:00,172.85,69.4,61.0,55.4,525.5282390867776,20475.04197957363,21.000570218660407
4223,2019-07-14 23:45:00,172.85,69.3,61.3,55.4,494.8803451052214,19365.34427610085,19.860224621206072
4224,2019-07-15 00:00:00,162.4,69.1,61.5,55.2,486.32684124481796,18981.76335950191,19.46809020074673
4225,2019-07-15 00:15:00,153.6,68.9,61.3,55.0,428.1313987899502,16577.244551813255,17.005375950603202
4226,2019-07-15 00:30:00,153.6,68.9,61.5,55.2,514.7117625763643,19937.523432482358,20.452235195058723
4227,2019-07-15 00:45:00,153.6,68.7,63.0,55.6,611.2576563704722,23502.086411020806,24.113344067391278
4228,2019-07-15 01:00:00,153.6,68.5,63.6,55.8,527.6808138649375,20396.13837062071,20.923819184485644
4229,2019-07-15 01:15:00,153.6,68.4,63.2,55.4,378.6922502677372,14541.27902054443,14.919971270812168
4230,2019-07-15 01:30:00,140.8,67.8,63.6,55.0,498.3464251095183,19245.664289802506,19.744010714912022
4231,2019-07-15 01:45:00,166.4,67.8,63.5,55.0,540.9502527886111,20759.380972848496,21.300331225637105
4232,2019-07-15 02:00:00,153.6,67.8,63.4,54.9,640.3803389970636,24383.100487090684,25.02348082608775
4233,2019-07-15 02:15:00,166.4,67.5,61.2,53.6,547.7728056899,20959.75290792072,21.50752571361062
4234,2019-07-15 02:30:00,166.4,67.3,61.3,53.6,535.9710876334768,20478.847957691498,21.014819045324973
4235,2019-07-15 02:45:00,166.4,67.1,61.7,53.6,582.1513106936773,22100.26872088292,22.682420031576594
4236,2019-07-15 03:00:00,166.4,66.9,62.3,53.6,500.41321800562514,19172.240372673703,19.672653590679328
4237,2019-07-15 03:15:00,140.8,66.7,62.7,53.6,601.6593124565139,22782.3225668808,23.383981879337316
4238,2019-07-15 03:30:00,192.0,66.4,62.4,53.2,622.9153071287095,23436.30685034249,24.0592221574712
4239,2019-07-15 03:45:00,192.0,66.2,62.5,53.1,556.5718537377396,20998.07088154428,21.55464273528202
4240,2019-07-15 04:00:00,166.4,66.2,62.6,53.1,545.6602623942811,20621.313989448656,21.166974251842937
4241,2019-07-15 04:15:00,172.8,65.8,62.9,52.9,582.3771201526005,21880.22104813057,22.46259816828317
4242,2019-07-15 04:30:00,192.0,65.7,63.0,52.7,599.0798980850742,22430.43006548022,23.029509963565296
4243,2019-07-15 04:45:00,172.8,65.7,62.7,52.5,529.3646455203134,19972.76517104603,20.50212981656634
4244,2019-07-15 05:00:00,179.2,65.7,63.3,52.9,503.1535244234964,19072.43428988049,19.575587814303983
4245,2019-07-15 05:15:00,192.0,65.5,63.6,52.9,561.5635255317409,21084.171046467527,21.645734571999267
4246,2019-07-15 05:30:00,217.6,65.5,64.1,53.1,648.2697974690086,24149.789613150504,24.798059410619512
4247,2019-07-15 05:45:00,179.2,65.3,63.9,52.7,648.9533503689838,24128.96390413045,24.777917254499435
4248,2019-07-15 06:00:00,192.0,65.1,63.8,52.5,649.6364891753171,24108.051709079828,24.757688198255146
4249,2019-07-15 06:15:00,204.8,64.8,63.0,51.8,702.4236843655333,26122.71704904913,26.825140733414663
